bdi_mean,bdi_std,bdi_min,bdi_max,bdi_range,bdi_cv,bdi_month_return,bdi_first_half_mean,bdi_second_half_mean,bdi_trend_shift,bdi_extreme_day_count,bdi_pct_extreme_days,bdi_n_days,Date,bdi_momentum_3m,bdi_rolling_vol_3m,bdi_rolling_mean_6m
3572.3888888888887,357.9053473396577,3005.0,4107.0,1102.0,0.1001865582027874,-0.2166319082377477,3878.0,3266.777777777778,-611.2222222222222,5.0,0.2777777777777778,18.0,2009-12-01,0.5192545196411349,611.931933074977,3109.42846529477
3168.35,103.2527360412304,2848.0,3299.0,451.0,0.03258880364897515,-0.09299363057324839,3197.5,3139.2,-58.30000000000018,5.0,0.25,20.0,2010-01-01,0.15393924344011256,386.2494317162232,3077.1752044252044
2677.85,56.516612601959785,2566.0,2745.0,179.0,0.021105219710573702,-0.0025500910746812933,2671.3,2684.4,13.099999999999909,1.0,0.05,20.0,2010-02-01,-0.3204411977958237,447.9653069656967,3076.041871091871
3206.8260869565215,215.79754041671902,2760.0,3574.0,814.0,0.06729318477682847,0.086231884057971,3174.6363636363635,3236.3333333333335,61.69696969696997,4.0,0.17391304347826086,23.0,2010-03-01,-0.10233006912247655,294.9255159751954,3218.611370433109
3040.6190476190477,138.18913064226288,2911.0,3359.0,448.0,0.04544769616913098,0.12136409227683043,2955.1,3118.3636363636365,163.26363636363658,2.0,0.09523809523809523,21.0,2010-04-01,-0.04031465980114324,270.5062730041844,3267.7675753393146
3838.0526315789475,241.71873034239184,3352.0,4209.0,857.0,0.06297952465621881,0.21658711217183768,3674.1111111111113,3985.6,311.4888888888886,3.0,0.15789473684210525,19.0,2010-05-01,0.4332590068819939,420.70814337030095,3250.6811091739014
3088.0,573.5530410599275,2406.0,4074.0,1668.0,0.18573608842614234,-0.40942562592047127,3596.7272727272725,2579.2727272727275,-1017.454545454545,8.0,0.36363636363636365,22.0,2010-06-01,-0.03705411011836157,447.34852661995154,3169.9496276924197
1909.7272727272727,181.52039249781822,1700.0,2351.0,651.0,0.09505042688037323,-0.16333475116971496,1988.4545454545455,1831.0,-157.4545454545455,6.0,0.2727272727272727,22.0,2010-07-01,-0.3719281360739084,972.0548903880334,2960.1791731469652
2432.3333333333335,312.2406479339649,1957.0,2861.0,904.0,0.12837082962887414,0.372281234193222,2151.5,2687.6363636363635,536.1363636363635,7.0,0.3333333333333333,21.0,2010-08-01,-0.36625847354972596,590.3872305804578,2919.25972870252
2719.4545454545455,206.17660727742552,2444.0,2995.0,551.0,0.07581542689214685,-0.10762495439620579,2905.909090909091,2533.0,-372.909090909091,3.0,0.13636363636363635,22.0,2010-09-01,-0.11934762129062648,410.5309450842471,2838.0311384521915
2693.3333333333335,89.04537812306356,2452.0,2784.0,332.0,0.03306140276846419,0.09216965742251215,2642.7,2739.3636363636365,96.66363636363667,1.0,0.047619047619047616,21.0,2010-10-01,0.41032354294600215,158.7670768624766,2780.1501860712383
2321.318181818182,167.18699013207186,2099.0,2648.0,549.0,0.07202243597692495,-0.20732628398791542,2467.090909090909,2175.5454545454545,-291.5454545454545,1.0,0.045454545454545456,22.0,2010-11-01,-0.04564142175489305,222.7068906018283,2527.3611111111113
